"2017-04-27 23:44:37,542",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 Out of,2 Misclassif.,3 Out of,3 Misclassif.
"2017-04-28 00:08:19,166","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,14.29,123,1480,958,1480,908,370,123
"2017-04-28 00:10:14,739","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,12.97,113,1480,1029,1480,898,370,113
"2017-04-28 00:12:07,763","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,12.16,125,1480,1002,1480,926,370,125
"2017-04-28 00:14:02,943","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,12.75,112,1480,1027,1480,907,370,112
"2017-04-28 00:15:57,751","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.11,109,1480,1015,1480,886,370,109
"2017-04-28 00:17:52,199","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.10,123,1480,1019,1480,940,370,123
"2017-04-28 00:19:45,856","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,12.81,126,1480,973,1480,921,370,126
"2017-04-28 00:21:42,277","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.96,106,1480,986,1480,957,370,106
"2017-04-28 00:23:38,206","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.36,117,1480,997,1480,937,370,117
"2017-04-28 00:25:33,199","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.33,123,1480,1023,1480,915,370,123
"2017-04-28 00:27:27,729","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,12.74,111,1480,1040,1480,953,370,111
"2017-04-28 00:29:22,585","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,12.79,109,1480,1036,1480,905,370,109
"2017-04-28 00:31:17,577","20,20,20","20,20,20",110,12,12,12,True,LinearRegression,4,13.81,129,1480,1003,1480,936,370,129
