"2016-11-17 11:53:16,536",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 11:56:52,987",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,24,8
"2016-11-17 11:56:54,474",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,33,7,34
"2016-11-17 11:56:56,021",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,20,12
"2016-11-17 11:56:57,442",4,4,102,4,40,40,True,LinearRegression,32,32,20,21,11,22,10
"2016-11-17 11:56:58,828",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:57:00,186",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,31,16,17
"2016-11-17 11:57:01,513",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,37,23,10
"2016-11-17 11:57:02,893",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,29,9,30
"2016-11-17 11:57:04,371",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:57:05,893",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,21,23,9
"2016-11-17 11:57:07,308",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,61,11,26
"2016-11-17 11:57:08,768",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,36,9,27
"2016-11-17 11:57:10,089",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:57:11,609",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,52,8,29
"2016-11-17 11:57:12,998",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,35,18,14
"2016-11-17 11:57:14,428",4,4,102,4,40,40,True,LinearRegression,32,32,20,30,2,31,1
"2016-11-17 11:57:15,796",4,4,102,4,40,40,True,LinearRegression,32,32,20,22,10,22,10
"2016-11-17 11:57:17,203",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,58,16,17
"2016-11-17 11:57:18,616",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,33,17,15
"2016-11-17 11:57:20,083",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,18,32,0
"2016-11-17 11:57:21,511",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,29,22,10
"2016-11-17 11:57:23,072",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,30,2
"2016-11-17 11:57:24,522",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:57:26,050",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,35,15,17
"2016-11-17 11:57:27,425",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,61,6,40
"2016-11-17 11:57:28,813",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,20,30,2
"2016-11-17 11:57:30,434",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,16,19
"2016-11-17 11:57:31,894",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:57:33,265",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:57:34,720",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:57:36,155",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,62,6,33
"2016-11-17 11:57:37,495",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,27,28,4
"2016-11-17 11:57:38,975",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:57:40,478",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,41,24,9
"2016-11-17 11:57:41,913",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,9,34
"2016-11-17 11:57:43,216",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,27,5
"2016-11-17 11:57:44,709",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,26,22,10
"2016-11-17 11:57:46,373",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,19,13
"2016-11-17 11:57:48,166",4,4,102,4,40,40,True,LinearRegression,32,32,20,17,15,25,7
"2016-11-17 11:57:49,694",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,24,8
"2016-11-17 11:57:51,124",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:57:52,462",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
