"2016-11-16 01:18:21,027",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 05:58:39,646",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:59:57,027",8,8,90,4,40,40,True,32,32,200,27,5
"2016-11-16 06:01:16,541",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:02:30,500",8,8,90,4,40,40,True,32,32,200,18,14
"2016-11-16 06:03:21,509",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:04:38,387",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:05:53,553",8,8,90,4,40,40,True,32,32,200,0,67
"2016-11-16 06:07:13,441",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:08:17,042",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:09:27,968",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:10:37,046",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:11:49,607",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:12:52,865",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:14:02,713",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:15:11,900",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:16:29,893",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:17:37,055",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:18:43,587",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:20:00,378",8,8,90,4,40,40,True,32,32,200,23,9
"2016-11-16 06:21:20,521",8,8,90,4,40,40,True,32,32,200,18,25
"2016-11-16 06:22:27,610",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 06:23:41,853",8,8,90,4,40,40,True,32,32,200,28,4
