"2016-11-17 12:34:35,944",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 12:37:21,309",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,60,9,35
"2016-11-17 12:37:22,747",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:37:24,168",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,24,16,16
"2016-11-17 12:37:25,649",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,42,16,17
"2016-11-17 12:37:27,008",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,28,20,12
"2016-11-17 12:37:28,365",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,28,4
"2016-11-17 12:37:29,762",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,9,33
"2016-11-17 12:37:31,128",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:37:32,548",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:37:33,989",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:37:35,502",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,14,18
"2016-11-17 12:37:36,914",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,37,10,29
"2016-11-17 12:37:38,310",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,55,9,35
"2016-11-17 12:37:39,713",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,32,12,20
"2016-11-17 12:37:41,110",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:37:42,466",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,30,14,18
"2016-11-17 12:37:43,912",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,24,8
"2016-11-17 12:37:45,360",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,11,21
