"2017-05-16 21:40:48,587",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps
"2017-05-16 21:43:05,854","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.24,32,32,200,0,7,51,18,17,25,7,29,3
"2017-05-16 21:44:13,731","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.70,32,32,200,0,7,42,17,19,24,11,29,5
"2017-05-16 21:45:22,626","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.61,32,32,200,0,2,61,13,26,19,14,25,7
"2017-05-16 21:46:30,574","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.10,32,32,200,0,2,58,11,26,19,14,25,7
"2017-05-16 21:47:38,653","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.24,32,32,200,0,4,58,12,25,16,17,24,9
"2017-05-16 21:48:45,815","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.63,32,32,200,0,5,54,14,20,22,10,26,6
"2017-05-16 21:49:53,873","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.24,32,32,200,0,5,54,11,27,19,16,27,5
"2017-05-16 21:51:01,675","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.12,32,32,200,0,6,49,20,16,25,8,26,6
"2017-05-16 21:52:09,910","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.50,32,32,200,0,7,53,18,20,21,15,30,3
"2017-05-16 21:53:17,171","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.78,32,32,200,0,3,68,15,19,23,10,28,4
"2017-05-16 21:54:24,849","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.01,32,32,200,0,3,57,17,26,19,18,24,11
"2017-05-16 21:55:33,736","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,42.14,32,32,200,0,8,41,21,12,26,6,29,3
"2017-05-16 21:56:41,896","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.58,32,32,200,0,2,68,12,28,18,18,23,10
"2017-05-16 21:57:49,771","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.64,32,32,200,0,2,57,14,21,23,10,24,8
"2017-05-16 21:58:58,271","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.90,32,32,200,0,3,55,18,19,22,12,26,6
"2017-05-16 22:00:06,917","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.71,32,32,200,0,2,58,19,21,23,11,28,4
"2017-05-16 22:01:15,227","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.38,32,32,200,0,1,71,11,31,20,14,21,11
"2017-05-16 22:02:22,985","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.97,32,32,200,0,6,55,18,21,27,6,30,2
"2017-05-16 22:03:30,273","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.78,32,32,200,0,2,66,10,27,18,14,27,5
"2017-05-16 22:04:37,903","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.94,32,32,200,0,5,56,19,17,26,7,24,8
"2017-05-16 22:05:45,683","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.22,32,32,200,0,2,60,11,28,19,14,27,5
"2017-05-16 22:06:53,704","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.38,32,32,200,0,4,58,13,24,22,10,27,5
"2017-05-16 22:08:02,011","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,41.73,32,32,200,0,3,58,9,30,21,12,27,5
"2017-05-16 22:09:09,034","30,30,30,30","30,35,35,35","153,153,153,153",4,0,0,True,LinearRegression,40.66,32,32,200,0,3,52,14,23,20,15,22,11
