"2017-05-17 14:37:46,896",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-17 14:23:11,934","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,43.71,32,32,200,0,2,73,3,65,5,52,6,45,5,46
"2017-05-17 14:24:28,709","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.89,32,32,200,0,3,59,4,52,6,37,7,32,13,24
"2017-05-17 14:25:48,170","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,46.37,32,32,200,0,1,64,5,45,6,43,10,37,12,31
"2017-05-17 14:27:05,872","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,45.08,32,32,200,0,4,58,7,45,8,40,11,41,9,42
"2017-05-17 14:28:20,228","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.03,32,32,200,0,5,53,6,47,5,45,7,39,7,39
"2017-05-17 14:29:33,642","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,41.49,32,32,200,0,2,66,6,53,6,43,9,38,11,34
"2017-05-17 14:30:47,132","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,41.97,32,32,200,0,4,47,6,44,13,32,13,29,10,39
"2017-05-17 14:32:03,228","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.55,32,32,200,0,6,54,10,40,11,38,11,31,13,31
"2017-05-17 14:33:17,431","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,41.67,32,32,200,0,0,62,4,54,9,44,12,39,11,40
"2017-05-17 14:34:29,587","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,40.30,32,32,200,0,3,51,14,34,13,29,14,29,15,23
"2017-05-17 14:35:45,660","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.08,32,32,200,0,4,61,3,54,5,51,8,37,13,32
"2017-05-17 14:37:01,658","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,43.84,32,32,200,0,4,48,8,37,11,35,8,37,8,34
"2017-05-17 14:38:20,930","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,47.41,32,32,200,0,6,54,8,42,8,42,8,40,7,42
"2017-05-17 14:39:34,823","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.90,32,32,200,0,4,48,10,38,11,32,13,28,10,34
"2017-05-17 14:40:47,509","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,41.07,32,32,200,0,3,60,4,51,5,41,7,38,10,33
"2017-05-17 14:42:05,057","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,46.13,32,32,200,0,4,58,9,44,7,46,9,41,9,43
"2017-05-17 14:43:21,735","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.45,32,32,200,0,8,50,7,42,8,42,10,39,9,48
"2017-05-17 14:44:38,192","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,44.98,32,32,200,0,0,60,6,41,9,33,10,30,7,34
"2017-05-17 14:45:52,992","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.83,32,32,200,0,2,62,4,50,4,48,2,49,4,50
"2017-05-17 14:47:11,278","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,46.53,32,32,200,0,3,56,7,45,9,40,12,33,8,36
"2017-05-17 14:48:27,841","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,45.14,32,32,200,0,4,66,4,53,8,40,7,45,7,42
"2017-05-17 14:49:41,580","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.01,32,32,200,0,2,54,8,38,8,35,6,38,11,31
"2017-05-17 14:50:57,055","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,42.97,32,32,200,0,7,42,3,41,6,35,9,31,8,36
"2017-05-17 14:52:06,914","30,30,30,30,30","30,30,30,30,30","165,165,165,165,165",4,0,0,True,LinearRegression,39.62,32,32,200,0,3,63,4,53,3,51,6,40,6,41
