"2017-05-23 18:00:05,035",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-23 18:10:02,942","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.34,98,1480,657,1480,602,370,98
"2017-05-23 18:13:47,623","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.97,94,1480,651,1480,601,370,94
"2017-05-23 18:17:29,750","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.43,106,1480,647,1480,596,370,106
"2017-05-23 18:21:12,408","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.41,101,1480,689,1480,610,370,101
"2017-05-23 18:24:55,861","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.64,111,1480,664,1480,581,370,111
"2017-05-23 18:28:38,308","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.18,106,1480,652,1480,612,370,106
"2017-05-23 18:32:38,809","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.99,110,1480,666,1480,585,370,110
"2017-05-23 18:36:35,861","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.78,93,1480,646,1480,596,370,93
"2017-05-23 18:40:25,180","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.72,106,1480,651,1480,599,370,106
"2017-05-23 18:44:34,551","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,22.63,108,1480,655,1480,593,370,108
"2017-05-23 18:48:22,006","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,23.15,101,1480,668,1480,610,370,101
"2017-05-23 18:52:16,916","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,26.96,96,1480,619,1480,614,370,96
"2017-05-23 18:56:02,595","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,28.45,102,1480,621,1480,572,370,102
"2017-05-23 18:59:49,469","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.75,96,1480,686,1480,611,370,96
"2017-05-23 19:03:33,362","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,24.53,120,1480,649,1480,625,370,120
"2017-05-23 19:07:23,740","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,30.50,102,1480,636,1480,594,370,102
"2017-05-23 19:11:11,661","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,28.96,100,1480,643,1480,604,370,100
"2017-05-23 19:14:59,008","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,25.88,101,1480,634,1480,618,370,101
"2017-05-23 19:18:52,921","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.56,103,1480,647,1480,603,370,103
"2017-05-23 19:22:52,673","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,30.96,106,1480,650,1480,620,370,106
"2017-05-23 19:26:43,441","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,31.84,112,1480,669,1480,582,370,112
"2017-05-23 19:30:32,542","20,20,20","40,40,40","90,90,90",12,12,12,True,LinearRegression,4,29.39,100,1480,639,1480,629,370,100
