"2017-05-03 23:20:27,036",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 Out of,1 Misclassif.,2 out of,2 misclassif,3 out of,3 misclassif
"2017-05-03 23:32:34,672","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.73,110,1480,691,1480,618,370,110
"2017-05-03 23:35:37,912","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.15,99,1480,703,1480,639,370,99
"2017-05-03 23:38:41,899","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.02,87,1480,684,1480,652,370,87
"2017-05-03 23:41:42,815","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.02,100,1480,698,1480,609,370,100
"2017-05-03 23:44:45,309","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.73,94,1480,675,1480,631,370,94
"2017-05-03 23:47:44,556","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,17.63,91,1480,715,1480,615,370,91
"2017-05-03 23:50:45,806","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.04,110,1480,702,1480,619,370,110
"2017-05-03 23:53:54,382","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,25.02,99,1480,678,1480,654,370,99
"2017-05-03 23:57:00,750","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,22.87,88,1480,692,1480,645,370,88
"2017-05-04 00:00:08,629","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,23.45,97,1480,711,1480,661,370,97
"2017-05-04 00:03:15,695","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,23.15,78,1480,712,1480,615,370,78
"2017-05-04 00:06:12,960","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,18.55,97,1480,682,1480,631,370,97
"2017-05-04 00:09:15,817","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.34,104,1480,679,1480,646,370,104
"2017-05-04 00:12:18,814","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.77,95,1480,718,1480,645,370,95
"2017-05-04 00:15:20,638","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.32,96,1480,685,1480,644,370,96
"2017-05-04 00:18:18,574","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,18.51,90,1480,683,1480,622,370,90
"2017-05-04 00:21:19,592","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,21.49,104,1480,675,1480,630,370,104
"2017-05-04 00:24:20,078","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,19.56,96,1480,678,1480,640,370,96
"2017-05-04 00:27:21,064","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,18.50,108,1480,694,1480,665,370,108
"2017-05-04 00:30:22,801","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.16,108,1480,689,1480,642,370,108
"2017-05-04 00:33:24,062","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,20.19,99,1480,701,1480,612,370,99
"2017-05-04 00:36:22,479","20,20,20","30,30,30",60,12,12,12,True,LinearRegression,4,18.20,87,1480,665,1480,648,370,87
