"2016-11-16 06:23:06,453",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 10:11:36,351",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:13:24,026",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:15:02,481",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:16:41,343",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:18:17,630",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:20:02,158",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:21:42,764",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:23:20,252",8,8,150,4,40,40,True,32,32,200,0,114
"2016-11-16 10:25:07,254",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:26:52,841",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:28:41,032",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:30:12,963",8,8,150,4,40,40,True,32,32,200,0,127
"2016-11-16 10:31:53,080",8,8,150,4,40,40,True,32,32,200,0,154
"2016-11-16 10:33:39,713",8,8,150,4,40,40,True,32,32,200,4,64
"2016-11-16 10:35:09,520",8,8,150,4,40,40,True,32,32,200,0,97
"2016-11-16 10:36:43,992",8,8,150,4,40,40,True,32,32,200,0,89
"2016-11-16 10:38:15,262",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 10:39:45,789",8,8,150,4,40,40,True,32,32,200,30,2
"2016-11-16 10:41:33,898",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:43:15,044",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:45:02,554",8,8,150,4,40,40,True,32,32,200,0,146
"2016-11-16 10:46:42,436",8,8,150,4,40,40,True,32,32,200,0,97
"2016-11-16 10:48:08,116",8,8,150,4,40,40,True,32,32,200,10,22
"2016-11-16 10:49:39,448",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:51:23,739",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:53:02,814",8,8,150,4,40,40,True,32,32,200,0,132
"2016-11-16 10:54:35,586",8,8,150,4,40,40,True,32,32,200,0,151
"2016-11-16 10:56:10,580",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:58:07,623",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 10:59:45,776",8,8,150,4,40,40,True,32,32,200,0,65
"2016-11-16 11:01:33,849",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:03:12,197",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:05:04,626",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:06:51,035",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:08:27,603",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:10:06,554",8,8,150,4,40,40,True,32,32,200,0,143
"2016-11-16 11:11:46,282",8,8,150,4,40,40,True,32,32,200,0,67
"2016-11-16 11:13:15,152",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 11:15:05,076",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:16:43,808",8,8,150,4,40,40,True,32,32,200,0,94
"2016-11-16 11:18:04,799",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 11:19:40,877",8,8,150,4,40,40,True,32,32,200,0,155
"2016-11-16 11:21:27,032",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:23:00,020",8,8,150,4,40,40,True,32,32,200,4,48
"2016-11-16 11:24:34,404",8,8,150,4,40,40,True,32,32,200,0,87
"2016-11-16 11:26:12,197",8,8,150,4,40,40,True,32,32,200,6,48
"2016-11-16 11:27:53,513",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:29:45,444",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:31:39,702",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:33:29,797",8,8,150,4,40,40,True,32,32,200,0,134
"2016-11-16 11:35:02,500",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 11:36:42,455",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:38:14,089",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:39:48,290",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:41:29,415",8,8,150,4,40,40,True,32,32,200,19,13
"2016-11-16 11:43:15,965",8,8,150,4,40,40,True,32,32,200,0,124
"2016-11-16 11:44:34,603",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 11:46:19,056",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:47:55,403",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:49:29,588",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:51:05,883",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:52:45,554",8,8,150,4,40,40,True,32,32,200,0,158
"2016-11-16 11:54:26,622",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:55:59,206",8,8,150,4,40,40,True,32,32,200,31,1
"2016-11-16 11:57:36,936",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 11:59:24,356",8,8,150,4,40,40,True,32,32,200,0,119
"2016-11-16 12:01:10,600",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:02:50,589",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:04:33,508",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:06:18,945",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:07:58,691",8,8,150,4,40,40,True,32,32,200,0,112
"2016-11-16 12:09:29,911",8,8,150,4,40,40,True,32,32,200,0,158
"2016-11-16 12:11:14,434",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:12:53,707",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:14:36,631",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:16:14,866",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 12:18:02,719",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:19:49,485",8,8,150,4,40,40,True,32,32,200,0,41
"2016-11-16 12:21:38,736",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:23:16,313",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:24:50,343",8,8,150,4,40,40,True,32,32,200,16,16
"2016-11-16 12:26:25,487",8,8,150,4,40,40,True,32,32,200,0,36
"2016-11-16 12:28:01,131",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:29:43,669",8,8,150,4,40,40,True,32,32,200,0,89
"2016-11-16 12:31:17,757",8,8,150,4,40,40,True,32,32,200,0,128
"2016-11-16 12:32:53,265",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:34:39,328",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 12:36:10,768",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 12:37:53,926",8,8,150,4,40,40,True,32,32,200,0,150
"2016-11-16 12:39:37,406",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:41:08,712",8,8,150,4,40,40,True,32,32,200,0,69
"2016-11-16 12:42:39,572",8,8,150,4,40,40,True,32,32,200,0,111
"2016-11-16 12:44:12,574",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:45:54,155",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:47:39,752",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:49:32,355",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:51:03,134",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 12:52:42,217",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:54:18,106",8,8,150,4,40,40,True,32,32,200,0,132
"2016-11-16 12:55:57,058",8,8,150,4,40,40,True,32,32,200,22,12
"2016-11-16 12:57:45,469",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 12:59:24,462",8,8,150,4,40,40,True,32,32,200,0,58
"2016-11-16 13:00:58,342",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 13:02:41,736",8,8,150,4,40,40,True,32,32,200,0,153
"2016-11-16 13:04:21,179",8,8,150,4,40,40,True,32,32,200,0,153
"2016-11-16 06:25:14,505",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:26:38,763",8,8,150,4,40,40,True,32,32,200,0,123
"2016-11-16 06:28:07,538",8,8,150,4,40,40,True,32,32,200,0,64
"2016-11-16 06:29:39,875",8,8,150,4,40,40,True,32,32,200,0,109
"2016-11-16 06:31:24,201",8,8,150,4,40,40,True,32,32,200,0,158
"2016-11-16 06:33:03,692",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:34:34,644",8,8,150,4,40,40,True,32,32,200,0,113
"2016-11-16 06:36:18,986",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:37:43,055",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:39:07,793",8,8,150,4,40,40,True,32,32,200,2,46
"2016-11-16 06:40:41,560",8,8,150,4,40,40,True,32,32,200,0,157
"2016-11-16 06:42:21,350",8,8,150,4,40,40,True,32,32,200,0,121
"2016-11-16 06:43:55,009",8,8,150,4,40,40,True,32,32,200,4,42
"2016-11-16 06:45:28,757",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:47:04,261",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:48:39,067",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:50:13,171",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:51:45,892",8,8,150,4,40,40,True,32,32,200,0,156
"2016-11-16 06:53:17,311",8,8,150,4,40,40,True,32,32,200,0,156
"2016-11-16 06:55:05,374",8,8,150,4,40,40,True,32,32,200,0,147
"2016-11-16 06:56:42,173",8,8,150,4,40,40,True,32,32,200,5,28
"2016-11-16 06:58:11,674",8,8,150,4,40,40,True,32,32,200,0,113
"2016-11-16 06:59:56,090",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:01:28,029",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:02:56,266",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 07:04:32,801",8,8,150,4,40,40,True,32,32,200,0,153
"2016-11-16 07:06:05,319",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 07:07:41,648",8,8,150,4,40,40,True,32,32,200,0,156
"2016-11-16 07:09:20,716",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:11:01,121",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:12:36,612",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:13:59,965",8,8,150,4,40,40,True,32,32,200,14,24
"2016-11-16 07:15:19,923",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 07:17:11,670",8,8,150,4,40,40,True,32,32,200,0,118
"2016-11-16 07:18:55,501",8,8,150,4,40,40,True,32,32,200,0,80
"2016-11-16 07:20:37,857",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:22:09,609",8,8,150,4,40,40,True,32,32,200,31,1
"2016-11-16 07:23:33,918",8,8,150,4,40,40,True,32,32,200,4,55
"2016-11-16 07:25:13,726",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:26:42,649",8,8,150,4,40,40,True,32,32,200,0,153
"2016-11-16 07:28:12,463",8,8,150,4,40,40,True,32,32,200,27,5
"2016-11-16 07:29:48,335",8,8,150,4,40,40,True,32,32,200,0,32
"2016-11-16 07:31:33,279",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:33:12,047",8,8,150,4,40,40,True,32,32,200,0,128
"2016-11-16 07:34:51,824",8,8,150,4,40,40,True,32,32,200,0,92
"2016-11-16 07:36:30,571",8,8,150,4,40,40,True,32,32,200,0,154
"2016-11-16 07:38:10,063",8,8,150,4,40,40,True,32,32,200,0,129
"2016-11-16 07:39:46,116",8,8,150,4,40,40,True,32,32,200,11,26
"2016-11-16 07:41:26,120",8,8,150,4,40,40,True,32,32,200,0,124
"2016-11-16 07:42:52,994",8,8,150,4,40,40,True,32,32,200,27,5
"2016-11-16 07:44:23,953",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:45:56,496",8,8,150,4,40,40,True,32,32,200,0,152
"2016-11-16 07:47:28,916",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:49:12,620",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:50:50,618",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 07:52:33,828",8,8,150,4,40,40,True,32,32,200,0,91
"2016-11-16 07:54:24,574",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:56:04,421",8,8,150,4,40,40,True,32,32,200,0,144
"2016-11-16 07:57:49,826",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:59:20,162",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:00:52,701",8,8,150,4,40,40,True,32,32,200,0,109
"2016-11-16 08:02:26,655",8,8,150,4,40,40,True,32,32,200,0,151
"2016-11-16 08:04:02,399",8,8,150,4,40,40,True,32,32,200,0,106
"2016-11-16 08:05:32,295",8,8,150,4,40,40,True,32,32,200,0,61
"2016-11-16 08:07:12,462",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:08:48,339",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:10:17,498",8,8,150,4,40,40,True,32,32,200,0,123
"2016-11-16 08:12:00,425",8,8,150,4,40,40,True,32,32,200,0,153
"2016-11-16 08:13:40,882",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:15:22,656",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:16:52,305",8,8,150,4,40,40,True,32,32,200,0,103
"2016-11-16 08:18:19,713",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 08:19:49,717",8,8,150,4,40,40,True,32,32,200,32,0
