"2016-11-16 01:18:13,385",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 04:17:08,863",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:18:28,667",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:19:56,249",8,8,90,4,40,40,True,32,32,200,5,37
"2016-11-16 04:21:18,098",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:22:26,980",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:23:38,242",8,8,90,4,40,40,True,32,32,200,22,12
"2016-11-16 04:24:53,781",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:25:59,895",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:26:58,979",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:28:24,226",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:30:00,715",8,8,90,4,40,40,True,32,32,200,3,54
"2016-11-16 04:31:01,746",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 04:32:16,837",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:33:26,180",8,8,90,4,40,40,True,32,32,200,26,6
"2016-11-16 04:34:50,859",8,8,90,4,40,40,True,32,32,200,0,103
"2016-11-16 04:35:56,916",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:37:22,420",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:38:37,221",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 04:39:48,642",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:40:58,797",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:42:06,756",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:43:18,791",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:44:41,853",8,8,90,4,40,40,True,32,32,200,32,0
