"2016-11-15 00:03:11,587",I,R,Rule,Input size,Input area,Automaton size,Training sets,Testing sets,Distractor period,Successful
"2016-11-15 01:31:22,597",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:31:39,193",4,8,102,4,40,40,32,32,200,50.000000
"2016-11-15 01:31:53,681",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 01:32:09,121",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 01:32:26,204",4,8,102,4,40,40,32,32,200,62.500000
"2016-11-15 01:32:41,230",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:32:58,259",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 01:33:10,968",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:33:27,389",4,8,102,4,40,40,32,32,200,100.000000
"2016-11-15 01:33:42,205",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:33:57,297",4,8,102,4,40,40,32,32,200,25.000000
"2016-11-15 01:34:13,711",4,8,102,4,40,40,32,32,200,37.500000
"2016-11-15 01:34:28,792",4,8,102,4,40,40,32,32,200,68.750000
"2016-11-15 01:34:44,841",4,8,102,4,40,40,32,32,200,56.250000
"2016-11-15 01:35:00,391",4,8,102,4,40,40,32,32,200,81.250000
"2016-11-15 01:35:15,774",4,8,102,4,40,40,32,32,200,50.000000
