"2016-11-16 23:43:14,084",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 00:11:17,201",4,4,102,4,40,40,True,LinearRegression,32,32,200,21,11,21,11
"2016-11-17 00:11:25,566",4,4,102,4,40,40,True,LinearRegression,32,32,200,5,39,9,29
"2016-11-17 00:11:34,886",4,4,102,4,40,40,True,LinearRegression,32,32,200,15,17,16,16
"2016-11-17 00:11:43,813",4,4,102,4,40,40,True,LinearRegression,32,32,200,13,23,13,22
"2016-11-17 00:11:52,265",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-17 00:12:00,192",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:12:08,336",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:12:16,203",4,4,102,4,40,40,True,LinearRegression,32,32,200,10,29,10,29
"2016-11-17 00:12:24,207",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-17 00:12:32,473",4,4,102,4,40,40,True,LinearRegression,32,32,200,13,19,27,5
"2016-11-17 00:12:40,646",4,4,102,4,40,40,True,LinearRegression,32,32,200,13,20,30,2
"2016-11-17 00:12:48,976",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:12:57,016",4,4,102,4,40,40,True,LinearRegression,32,32,200,23,9,23,9
"2016-11-17 00:13:05,103",4,4,102,4,40,40,True,LinearRegression,32,32,200,31,1,31,1
"2016-11-17 00:13:13,340",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:13:21,420",4,4,102,4,40,40,True,LinearRegression,32,32,200,23,9,31,1
"2016-11-17 00:13:29,452",4,4,102,4,40,40,True,LinearRegression,32,32,200,12,20,12,20
"2016-11-17 00:13:37,376",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,8,24
"2016-11-17 00:13:45,513",4,4,102,4,40,40,True,LinearRegression,32,32,200,1,59,9,32
"2016-11-17 00:13:53,644",4,4,102,4,40,40,True,LinearRegression,32,32,200,13,19,13,19
"2016-11-17 00:14:01,794",4,4,102,4,40,40,True,LinearRegression,32,32,200,11,24,11,24
"2016-11-17 00:14:09,662",4,4,102,4,40,40,True,LinearRegression,32,32,200,12,21,17,17
"2016-11-17 00:14:17,955",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-17 00:14:26,134",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:14:34,177",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:14:42,183",4,4,102,4,40,40,True,LinearRegression,32,32,200,31,1,31,1
"2016-11-17 00:14:50,185",4,4,102,4,40,40,True,LinearRegression,32,32,200,27,5,27,5
"2016-11-17 00:14:58,391",4,4,102,4,40,40,True,LinearRegression,32,32,200,28,4,30,2
"2016-11-17 00:15:06,414",4,4,102,4,40,40,True,LinearRegression,32,32,200,11,36,17,17
"2016-11-17 00:15:14,434",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,42,8,36
"2016-11-17 00:15:22,336",4,4,102,4,40,40,True,LinearRegression,32,32,200,17,15,19,13
"2016-11-17 00:15:30,385",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:15:38,578",4,4,102,4,40,40,True,LinearRegression,32,32,200,18,19,18,15
"2016-11-17 00:15:46,867",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:15:56,940",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:16:04,927",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,30,16,16
"2016-11-17 00:16:12,689",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:16:20,677",4,4,102,4,40,40,True,LinearRegression,32,32,200,28,4,28,4
"2016-11-17 00:16:28,740",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:16:36,769",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:16:45,100",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:16:53,156",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:17:01,193",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
"2016-11-17 00:17:09,126",4,4,102,4,40,40,True,LinearRegression,32,32,200,9,36,9,28
"2016-11-17 00:17:17,451",4,4,102,4,40,40,True,LinearRegression,32,32,200,14,18,17,15
"2016-11-17 00:17:25,476",4,4,102,4,40,40,True,LinearRegression,32,32,200,20,12,16,16
"2016-11-17 00:17:33,718",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,32,8,37
"2016-11-17 00:17:41,842",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-17 00:17:49,863",4,4,102,4,40,40,True,LinearRegression,32,32,200,29,3,29,3
"2016-11-17 00:17:57,948",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,32,0
"2016-11-17 00:18:07,209",4,4,102,4,40,40,True,LinearRegression,32,32,200,4,40,24,16
"2016-11-17 00:18:16,385",4,4,102,4,40,40,True,LinearRegression,32,32,200,27,5,27,5
"2016-11-17 00:18:24,611",4,4,102,4,40,40,True,LinearRegression,32,32,200,8,38,9,30
"2016-11-17 00:18:32,285",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:18:40,486",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:18:48,463",4,4,102,4,40,40,True,LinearRegression,32,32,200,13,22,27,5
"2016-11-17 00:18:56,378",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:19:04,505",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:19:12,356",4,4,102,4,40,40,True,LinearRegression,32,32,200,32,0,32,0
"2016-11-17 00:19:20,792",4,4,102,4,40,40,True,LinearRegression,32,32,200,16,16,16,16
